X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
490051.689015268,6661715.08853981,9158,VELOSTATION,DUBBELZIJDIG,VOETPAD,Sint-Aldegondiskaai,2,thv Bonapartedok,Antwerpen,2000,VE_0000135,IN_GEBRUIK,36,135 Loodswezen
490418.463651587,6661524.59707623,9159,VELOSTATION,DUBBELZIJDIG,VOETPAD,Oudeleeuwenrui,2,,Antwerpen,2000,VE_0000045,IN_GEBRUIK,36,045 Falconplein
490442.4666976,6661746.39831659,9160,VELOSTATION,DUBBELZIJDIG,PLEIN,Godefriduskaai,,thv oostendekaai,Antwerpen,2000,VE_0000134,IN_GEBRUIK,36,134 MAS
492558.692111387,6661919.56786797,9161,VELOSTATION,DUBBELZIJDIG,PARKEERZONE,Viséstraat,14,,Antwerpen,2060,VE_0000123,IN_GEBRUIK,18,123 Park Spoor Noord 2
491072.196777356,6661987.07310018,9162,VELOSTATION,ENKELZIJDIG,VOETPAD,Entrepotplaats,1,,Antwerpen,2000,VE_0000133,IN_GEBRUIK,24,133 Willemdok
491967.429569178,6662065.96080116,9163,VELOSTATION,ENKELZIJDIG,GROENZONE,Ellermanstraat,74,to 74,Antwerpen,2060,VE_0000124,IN_GEBRUIK,30,124 Park Spoor Noord 1
494671.552754076,6659329.70319619,9164,VELOSTATION,DUBBELZIJDIG,VOETPAD,Turnhoutsebaan,366,thv stenenbrug                 ,Borgerhout,2140,VE_0000068,IN_GEBRUIK,30,068 Turnhoutsepoort
492810.75217111,6662395.99451795,9165,VELOSTATION,DUBBELZIJDIG,VOETPAD,Lange Lobroekstraat,220,to,Antwerpen,2060,VE_0000062,IN_GEBRUIK,24,062 Station Dam
493331.56629587,6662067.35778338,9166,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Lobroekstraat,93,to,Antwerpen,2060,VE_0000063,IN_GEBRUIK,36,063 Slachthuis
493440.928831664,6660320.23739798,9167,VELOSTATION,ENKELZIJDIG,VOETPAD,Pastorijstraat,28,to,Antwerpen,2060,VE_0000038,IN_GEBRUIK,21,038 Pastorijstraat
490210.924603181,6658936.64067636,9168,VELOSTATION,DUBBELZIJDIG,VOETPAD,Maarschalk Gérardstraat,25a,,Antwerpen,2000,VE_0000073,IN_GEBRUIK,36,073 Maarschalk Gerard
490059.567867945,6655644.13941874,9169,VELOSTATION,DUBBELZIJDIG,GROENZONE,Jan Van Rijswijcklaan,,thv de Singel,Antwerpen,2018,VE_0000013,IN_GEBRUIK,36,013 De Singel
492028.980283603,6659828.22186591,9170,VELOSTATION,ENKELZIJDIG,VOETPAD,De Keyserlei,61,,Antwerpen,2018,VE_0000048,IN_GEBRUIK,33,048 De Keyserlei 2
492153.707823497,6662389.63419356,9171,VELOSTATION,ENKELZIJDIG,VOETGANGERSZONE,Hardenvoort,,,Antwerpen,2060,VE_0000136,IN_GEBRUIK,33,136 Spoor Noord Skatebowl
494693.542697142,6660129.38356599,9172,VELOSTATION,ENKELZIJDIG,VOETPAD,Terloplein,64,to 64 pleintje,Borgerhout,2140,VE_0000154,IN_GEBRUIK,33,154 Terloplein
494886.993018124,6659625.03938843,9173,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Statielei,27,to 27 naast spoorwegbrug,Borgerhout,2140,VE_0000155,IN_GEBRUIK,36,155 Statielei
492200.317944493,6655427.40449299,9174,VELOSTATION,DUBBELZIJDIG,MIDDENBERM,Binnensingel,,aan binnensingel,Berchem,2600,VE_0000157,IN_GEBRUIK,36,157 Berchem kerk
489622.591313198,6657092.29205256,9175,VELOSTATION,DUBBELZIJDIG,PLEIN,Zuidervelodroom,55,,Antwerpen,2018,VE_0000158,IN_GEBRUIK,36,158 Zuidervelodroom
489730.210442246,6657732.03986467,9176,VELOSTATION,DUBBELZIJDIG,VOETPAD,Boudewijnssteeg,1, fase 3,Antwerpen,2018,VE_0000159,IN_GEBRUIK,30,159 Den Bell 2
488570.560059777,6657341.69339271,9177,VELOSTATION,DUBBELZIJDIG,GROENZONE,Brusselstraat,5,to 5,Antwerpen,2018,VE_0000160,IN_GEBRUIK,36,160 Vlinderpaleis
491882.013006814,6667915.72022759,9178,VELOSTATION,DUBBELZIJDIG,VOETPAD,Havanastraat,1,,Antwerpen,2030,VE_0000201,IN_GEBRUIK,36,201 Havana
492169.057914082,6666930.97674912,9179,VELOSTATION,ENKELZIJDIG,VOETPAD,Houstonstraat,,to Canadalaan,Antwerpen,2030,VE_0000202,IN_GEBRUIK,24,202 Squarepark
492388.510999602,6666270.46037512,9180,VELOSTATION,DUBBELZIJDIG,GROENZONE,Columbiastraat,,thv Venezuelastraat,Antwerpen,2030,VE_0000203,IN_GEBRUIK,36,203 Venezuelastraat
492130.805226579,6665633.97812072,9181,VELOSTATION,DUBBELZIJDIG,PLEIN,Noorderlaan,104B-104C,,Antwerpen,2030,VE_0000204,IN_GEBRUIK,36,204 Luchtbal winkelcentrum
491414.043342813,6664716.91671789,9182,VELOSTATION,DUBBELZIJDIG,GROENZONE,Groenendaallaan,397A,,Antwerpen,2030,VE_0000205,IN_GEBRUIK,36,205 Kinepolis
492382.089845763,6664637.94910695,9183,VELOSTATION,ENKELZIJDIG,PLEIN,Bermstraat,,hoek Groenendaallaan,Antwerpen,2030,VE_0000206,IN_GEBRUIK,33,206 Station Luchtbal
496730.011351946,6667131.33490543,9184,VELOSTATION,DUBBELZIJDIG,GROENZONE,Van Praetlei,252,to 252,Merksem,2170,VE_0000207,IN_GEBRUIK,36,207 P&R Merksem
495860.491700738,6666443.06469718,9185,VELOSTATION,ENKELZIJDIG,VOETPAD,Ringlaan,74,to 74,Merksem,2170,VE_0000208,IN_GEBRUIK,36,208 Ringlaan Atheneum
495053.931728723,6666788.10819778,9186,VELOSTATION,DUBBELZIJDIG,VOETPAD,Korte Bremstraat,2,to Laaglandlaan,Merksem,2170,VE_0000209,IN_GEBRUIK,36,209 Melgeshof
